Name,Year,Genre,Run_time,Rating,Meta_score,Director_cast,Votes,Vote_gross
Airlift,(2016),"
Drama, History            ",130 min,"

8.0
",,"
    Director:
Raja Menon
| 
    Stars:
Akshay Kumar, 
Nimrat Kaur, 
Kumud Mishra, 
Prakash Belawadi
","53,207","
Votes:
53,207
"
Bajrangi Bhaijaan,(2015),"
Action, Adventure, Comedy            ",163 min,"

8.0
",,"
    Director:
Kabir Khan
| 
    Stars:
Salman Khan, 
Harshaali Malhotra, 
Nawazuddin Siddiqui, 
Kareena Kapoor
","73,269","
Votes:
73,269
| Gross:
$8.18M
"
Baby,(I) (2015),"
Action, Thriller            ",159 min,"

8.0
",,"
    Director:
Neeraj Pandey
| 
    Stars:
Akshay Kumar, 
Danny Denzongpa, 
Rana Daggubati, 
Taapsee Pannu
","53,207","
Votes:
53,207
"
La La Land,(2016),"
Comedy, Drama, Music            ",128 min,"

8.0
",94        ,"
    Director:
Damien Chazelle
| 
    Stars:
Ryan Gosling, 
Emma Stone, 
Rosemarie DeWitt, 
J.K. Simmons
","515,895","
Votes:
515,895
| Gross:
$151.10M
"
Lion,(2016),"
Biography, Drama            ",118 min,"

8.0
",69        ,"
    Director:
Garth Davis
| 
    Stars:
Dev Patel, 
Nicole Kidman, 
Rooney Mara, 
Sunny Pawar
","217,689","
Votes:
217,689
| Gross:
$51.74M
"
The Martian,(2015),"
Adventure, Drama, Sci-Fi            ",144 min,"

8.0
",80        ,"
    Director:
Ridley Scott
| 
    Stars:
Matt Damon, 
Jessica Chastain, 
Kristen Wiig, 
Kate Mara
","771,047","
Votes:
771,047
| Gross:
$228.43M
"
Zootopia,(2016),"
Animation, Adventure, Comedy            ",108 min,"

8.0
",78        ,"
    Directors:
Byron Howard, 
Rich Moore, 
Jared Bush
| 
    Stars:
Ginnifer Goodwin, 
Jason Bateman, 
Idris Elba, 
Jenny Slate
","441,094","
Votes:
441,094
| Gross:
$341.27M
"
Bãhubali: The Beginning,(2015),"
Action, Drama            ",159 min,"

8.0
",,"
    Director:
S.S. Rajamouli
| 
    Stars:
Prabhas, 
Rana Daggubati, 
Ramya Krishnan, 
Sathyaraj
","104,257","
Votes:
104,257
| Gross:
$6.74M
"
Kaguyahime no monogatari,(2013),"
Animation, Adventure, Drama            ",137 min,"

8.0
",89        ,"
    Director:
Isao Takahata
| 
    Stars:
Chloë Grace Moretz, 
James Caan, 
Mary Steenburgen, 
James Marsden
","39,995","
Votes:
39,995
| Gross:
$1.51M
"
Wonder,(I) (2017),"
Drama, Family            ",113 min,"

8.0
",66        ,"
    Director:
Stephen Chbosky
| 
    Stars:
Jacob Tremblay, 
Owen Wilson, 
Izabela Vidovic, 
Julia Roberts
","145,866","
Votes:
145,866
| Gross:
$132.42M
"
Gully Boy,(2019),"
Drama, Music, Romance            ",154 min,"

8.0
",65        ,"
    Director:
Zoya Akhtar
| 
    Stars:
Vijay Varma, 
Nakul Roshan Sahdev, 
Ranveer Singh, 
Vijay Raaz
","32,709","
Votes:
32,709
| Gross:
$5.57M
"
Special Chabbis,(2013),"
Crime, Drama, Thriller            ",144 min,"

8.0
",,"
    Director:
Neeraj Pandey
| 
    Stars:
Akshay Kumar, 
Anupam Kher, 
Manoj Bajpayee, 
Jimmy Sheirgill
","51,526","
Votes:
51,526
| Gross:
$1.08M
"
Short Term 12,(2013),"
Drama            ",96 min,"

8.0
",82        ,"
    Director:
Destin Daniel Cretton
| 
    Stars:
Brie Larson, 
Frantz Turner, 
John Gallagher Jr., 
Kaitlyn Dever
","82,867","
Votes:
82,867
| Gross:
$1.01M
"
Serbuan maut 2: Berandal,(2014),"
Action, Crime, Thriller            ",150 min,"

8.0
",71        ,"
    Director:
Gareth Evans
| 
    Stars:
Iko Uwais, 
Yayan Ruhian, 
Arifin Putra, 
Oka Antara
","115,354","
Votes:
115,354
| Gross:
$2.63M
"
